EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	18:20:44	0	0.1000	51.89934799887917	15.851984024047852		0.9562
2	18:22:49	0	0.1000	16.963434739546344	12.066703796386719		0.9562
3	18:24:46	0	0.1000	13.153742616826838	11.709739685058594		0.9564
4	18:26:43	0	0.1000	10.82874514839866	8.772001266479492		0.961
5	18:28:36	0	0.1000	10.037331104278564	7.639432907104492		0.9641
6	18:30:29	1	0.1000	9.984977895563299	7.930204391479492		0.9589
7	18:32:03	0	0.1000	9.281173272566361	7.198511600494385		0.9696
8	18:33:59	0	0.1000	8.064536874944514	6.518869400024414		0.972
9	18:36:00	0	0.1000	7.833993001417681	6.483999252319336		0.9738
10	18:37:57	1	0.1000	8.488234389911998	6.891437530517578		0.972
11	18:39:30	2	0.1000	7.123385732824152	5.945827484130859		0.9678
12	18:41:12	0	0.1000	6.814315145665949	5.032439231872559		0.9775
13	18:43:03	1	0.1000	7.038917649875987	5.91690731048584		0.9686
14	18:44:35	2	0.1000	6.118544361808083	4.858151435852051		0.9774
15	18:46:04	3	0.1000	5.70288593118841	5.864896774291992		0.9691
16	18:47:34	4	0.1000	5.631966157393022	4.749527931213379		0.9761
17	18:49:09	1	0.0500	4.894009069962935	5.122574806213379		0.9762
18	18:50:53	0	0.0500	4.799723256718028	4.163527965545654		0.9816
19	18:52:46	1	0.0500	4.444904175671664	4.5681633949279785		0.9782
20	18:54:19	2	0.0500	4.119368553161621	5.313733100891113		0.9753
21	09:56:11	3	0.0500	4.012582518837669	4.536512851715088		0.9796
22	09:57:55	4	0.0500	4.340259443629872	3.9765334129333496		0.9809
23	09:59:45	1	0.0250	4.0707995241338555	4.507388591766357		0.9803
24	10:01:41	0	0.0250	3.851910937916149	3.9288482666015625		0.9822
25	10:03:45	1	0.0250	3.9007245193828237	4.266661643981934		0.9804
26	10:05:23	0	0.0250	4.0235419273376465	3.90156888961792		0.9827
27	10:07:16	0	0.0250	3.514827858317982	3.930802345275879		0.983
28	10:09:10	1	0.0250	3.7866849682547827	4.0937347412109375		0.9811
29	10:10:51	2	0.0250	3.4793297810987993	4.281637668609619		0.9811
30	10:12:32	0	0.0250	3.7718700062144888	3.7297701835632324		0.9838
31	10:14:45	1	0.0250	3.3628689375790684	3.7509334087371826		0.9837
32	10:16:19	2	0.0250	3.6815004998987373	3.8193531036376953		0.9832
33	10:18:14	3	0.0250	3.418811256235296	3.9141194820404053		0.9827
34	10:19:45	4	0.0250	3.3109647360715	3.8445067405700684		0.9827
35	10:21:36	1	0.0125	3.7289458188143643	3.738085985183716		0.983
36	10:23:18	2	0.0125	3.2197494073347612	4.136959552764893		0.9822
37	10:25:02	3	0.0125	3.4337387735193428	3.7361083030700684		0.9834
38	10:26:44	4	0.0125	3.1438429138877173	3.6465420722961426		0.9835
39	10:28:22	0	0.0063	3.2292765270579946	3.6472761631011963		0.984
40	10:30:14	1	0.0063	3.498954317786477	3.665778160095215		0.984
41	10:31:54	2	0.0063	3.211817502975464	3.725792646408081		0.9838
42	10:33:48	3	0.0063	3.1771045381372627	3.700471878051758		0.984
43	10:35:23	0	0.0063	3.1461803913116455	3.6157724857330322		0.9843
44	10:37:13	1	0.0063	3.242328101938421	3.6604223251342773		0.9843
45	10:38:54	2	0.0063	3.270930051803589	3.6650238037109375		0.9843
46	10:40:31	3	0.0063	3.2230760617689653	3.767794132232666		0.9832
47	10:42:05	4	0.0063	2.9504437229850073	3.7310733795166016		0.9843
48	10:43:37	1	0.0031	3.140923500061035	3.686479091644287		0.9843
49	10:45:03	2	0.0031	3.09296575459567	3.634702682495117		0.9843
50	10:46:30	3	0.0031	3.0648446299813012	3.6193690299987793		0.9842
51	10:48:10	4	0.0031	2.984126264398748	3.6575565338134766		0.9838
52	10:49:43	1	0.0016	2.9551667733625933	3.664060592651367		0.9838
53	10:51:14	2	0.0016	3.0888714573600073	3.672032356262207		0.984
54	10:52:48	3	0.0016	3.170121669769287	3.678124189376831		0.984
55	10:54:26	4	0.0016	3.0587422414259477	3.633310317993164		0.9842
56	10:56:01	1	0.0008	3.001936825838956	3.646251678466797		0.9843
57	10:57:34	2	0.0008	3.342887661673806	3.638772964477539		0.9843
58	10:59:12	3	0.0008	2.9125861904837866	3.6539340019226074		0.984
59	11:00:55	4	0.0008	3.1841322508725254	3.649905204772949		0.9843
60	11:02:49	1	0.0004	3.2871465899727563	3.648683547973633		0.9843
61	11:04:31	2	0.0004	2.946109034798362	3.650660753250122		0.984
62	11:06:22	3	0.0004	3.2616136941042813	3.6425981521606445		0.9843
63	11:08:11	4	0.0004	3.447612589055842	3.6342697143554688		0.9843
64	11:09:49	1	0.0002	3.2030584161931817	3.630897045135498		0.9843
65	11:11:19	2	0.0002	3.0984501621939917	3.629828453063965		0.9843
66	11:12:46	3	0.0002	3.1029632958498867	3.6293392181396484		0.9843
67	11:14:16	4	0.0002	3.1714677810668945	3.6269311904907227		0.9843
